Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
115,Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,1.2,3,2,3,0,0,1,5,20.0,4,2,0,2,2,5,1,0
116,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,34.8,64,41,50,12,2,38,75,50.7,37,49,15,34,43,107,97,0
117,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
118,Aaron Cresswell,eng ENG,"DF,FW",West Ham,33,1989,4.8,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0
119,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,62,38,36,21,5,34,64,53.1,30,36,13,23,22,84,48,0
120,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,42,29,15,22,5,26,46,56.5,20,31,19,12,15,57,26,1
121,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,30,16,8,17,5,13,35,37.1,22,28,7,21,13,43,21,1
122,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,0.3,1,0,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0
123,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0
124,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,12,5,4,7,1,1,10,10.0,9,13,6,7,12,24,38,2
125,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,81,51,58,12,11,51,74,68.9,23,44,16,28,37,118,111,0
126,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,29,17,13,9,7,14,40,35.0,26,23,1,22,11,40,10,1
127,Danilo,br BRA,MF,Nott'ham Forest,22,2001,19.9,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0
128,Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,6.6,6,4,2,3,1,1,4,25.0,3,4,0,4,3,9,0,0
129,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
130,Josh Dasilva,eng ENG,"DF,FW",Brentford,24,1998,0.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0
131,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,10,5,3,5,2,3,6,50.0,3,9,3,6,1,11,2,0
132,Ben Davies,wls WAL,DF,Tottenham,30,1993,12.1,24,17,13,8,3,16,21,76.2,5,17,15,2,10,34,35,0
133,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,10,5,4,3,3,3,9,33.3,6,2,1,1,3,13,6,1
134,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,30,20,23,6,1,22,34,64.7,12,51,39,12,16,46,120,1
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,14,9,1,5,8,7,20,35.0,13,5,0,5,4,18,4,0
136,Hannes Delcroix,be BEL,DF,Burnley,24,1999,6.5,10,6,6,4,0,3,4,75.0,1,9,3,6,9,19,26,0
137,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1
138,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,24.2,12,5,5,4,3,4,22,18.2,18,8,1,7,9,21,6,0
139,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,4.3,10,3,1,6,3,3,7,42.9,4,3,1,2,1,11,6,0
140,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
141,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,39,20,14,21,4,19,26,73.1,7,32,17,15,30,69,77,0
142,Luis Díaz,co COL,FW,Liverpool,26,1997,29.2,35,25,5,17,13,7,30,23.3,23,15,0,15,3,38,8,0
143,Eric Dier,eng ENG,DF,Tottenham,29,1994,2.2,2,1,2,0,0,2,2,100.0,0,3,3,0,2,4,12,0
144,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,26.8,47,19,35,9,3,25,44,56.8,19,20,2,18,26,73,67,0
145,Issa Diop,fr FRA,DF,Fulham,26,1997,15.8,30,16,23,5,2,15,20,75.0,5,28,19,9,17,47,80,1
146,Axel Disasi,fr FRA,DF,Chelsea,25,1998,28.7,33,19,20,10,3,23,30,76.7,7,26,19,7,18,51,102,2
147,Ben Doak,sct SCO,FW,Liverpool,17,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
148,Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,9,7,3,5,1,5,9,55.6,4,5,1,4,1,10,0,0
149,Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,12.8,31,18,17,10,4,12,23,52.2,11,15,5,10,7,38,47,0
150,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,17.7,39,22,13,12,14,9,20,45.0,11,14,0,14,9,48,5,0
151,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,16.6,63,34,35,27,1,23,48,47.9,25,31,5,26,18,81,24,0
152,Jamie Donley,eng ENG,FW,Tottenham,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
153,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,29.2,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0
154,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,34,17,15,13,6,18,30,60.0,12,13,2,11,20,54,12,0
155,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,32.5,63,40,29,18,16,37,82,45.1,45,51,9,42,31,94,43,4
156,Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,26,13,11,10,5,14,23,60.9,9,22,9,13,12,38,18,0
157,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,4.8,5,3,5,0,0,3,3,100.0,0,5,4,1,8,13,19,0
158,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,22.1,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,8,1
159,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
160,Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,27,14,17,9,1,13,36,36.1,23,49,37,12,31,58,90,1
161,Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,6,5,3,1,2,1,6,16.7,5,6,0,6,1,7,10,0
162,George Earthy,eng ENG,FW,West Ham,18,2004,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
163,Ederson,br BRA,GK,Manchester City,29,1993,30.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,1
164,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,17.3,24,12,8,8,8,4,19,21.1,15,17,1,16,6,30,19,0
165,John Egan,ie IRL,DF,Sheffield Utd,30,1992,5.4,6,4,4,2,0,4,11,36.4,7,10,4,6,13,19,39,1
166,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,4,2,2,2,0,2,4,50.0,2,10,5,5,6,10,21,0
167,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,27.0,33,19,20,6,7,17,36,47.2,19,22,2,20,8,41,20,1
168,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,15.0,27,17,8,14,5,10,31,32.3,21,27,0,27,6,33,7,0
169,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
170,Emerson,br BRA,DF,Tottenham,24,1999,12.9,36,24,23,10,3,21,43,48.8,22,23,10,13,20,56,50,1
171,Julio Enciso,py PAR,"MF,FW",Brighton,19,2004,5.3,6,2,3,2,1,2,7,28.6,5,11,0,11,0,6,3,0
172,Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,48,28,11,31,6,20,61,32.8,41,24,2,22,20,68,31,3
173,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,18,13,5,10,3,12,33,36.4,21,17,6,11,4,22,13,0
174,Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,27,10,15,12,0,18,32,56.3,14,21,10,11,27,54,56,0
175,Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,13.8,26,13,12,11,3,14,30,46.7,16,14,4,10,21,47,20,0
176,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,22,14,20,2,0,12,21,57.1,9,25,18,7,23,45,76,0
177,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,22.8,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6,0
178,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,4,0
179,Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0
180,Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0
181,Felipe,br BRA,DF,Nott'ham Forest,34,1989,4.2,12,9,9,3,0,9,12,75.0,3,4,1,3,4,16,12,0
182,Evan Ferguson,ie IRL,FW,Brighton,18,2004,15.2,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8,0
183,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,34.6,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50,2
184,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0
185,John Fleck,sct SCO,"MF,DF",Sheffield Utd,31,1991,1.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
186,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17,1
187,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1
188,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,29.4,5,3,5,0,0,5,6,83.3,1,0,0,0,0,5,18,6
